customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-541015-RD,F,36250,GUANAJUATO,GUANAJUATO,W2808,280,9931.0,C
1-926793-E[,F,62080,CUERNAVACA,MORELOS,W3795,379,9610.0,S
1-354538-LU,M,45070,ZAPOPAN,JALISCO,W1008,100,6150.0,S
1-945811-N\,M,66235,SAN PEDRO GARZA GARCIA,NUEVO LEON,V0275,255,9932.0,C
1-226691-J[,M,44330,GUADALAJARA,JALISCO,V0260,104,6150.0,C
1-951591-JC,F,86280,CENTRO,TABASCO,W0012,1,4831.0,C
1-247476-NB,M,6760,CUAUHTEMOC,CIUDAD DE MEXICO,V0004,40,9934.0,C
1-648927-LU,F,45110,ZAPOPAN,JALISCO,Z8048,3804,6150.0,C
1-897168-FS,F,3020,BENITO JUAREZ,CIUDAD DE MEXICO,V0551,26,4831.0,S
1-973701-TC,M,58190,MORELIA,MICHOACAN DE OCAMPO,V0249,293,6150.0,C
1-322968-LI,F,72453,PUEBLA,PUEBLA,W3148,314,9933.0,C
1-935681-EV,F,31691,GUERRERO,CHIHUAHUA,V0394,214,6777.0,C
1-337235-PE,M,86750,CENTLA,TABASCO,W3551,355,9610.0,C
1-526562-VG,M,62550,JIUTEPEC,MORELOS,W0851,85,4831.0,C
1-441427-GZ,F,11650,MIGUEL HIDALGO,CIUDAD DE MEXICO,X6873,1687,6777.0,C
1-311274-KO,F,86930,BALANCAN,TABASCO,W3542,354,9610.0,C
1-685222-XC,M,86781,JONUTA,TABASCO,W9811,981,9610.0,C
1-301588-DX,M,1840,ALVARO OBREGON,CIUDAD DE MEXICO,W5611,561,4831.0,C
1-600384-CB,M,27900,FRANCISCO I MADERO,COAHUILA DE ZARAGOZA,W2313,231,9932.0,C
1-186927-Y[,F,25294,SALTILLO,COAHUILA DE ZARAGOZA,W2378,237,9932.0,S
1-213810-VE,M,83140,HERMOSILLO,SONORA,X0773,1077,6777.0,S
1-243664-OM,M,6500,CUAUHTEMOC,CIUDAD DE MEXICO,V0035,99,9934.0,C
1-856946-OQ,M,76146,SANTIAGO DE QUERETARO,QUERETARO,W0515,51,9934.0,C
1-643410-OV,M,14650,TLALPAN,CIUDAD DE MEXICO,W5942,594,9934.0,S
1-125572-AT,M,25209,SALTILLO,COAHUILA DE ZARAGOZA,V0067,237,9932.0,C
1-362385-UA,M,44987,GUADALAJARA,JALISCO,V0246,174,6150.0,C
1-746434-AU,M,27010,TORREON,COAHUILA DE ZARAGOZA,W2662,266,9932.0,C
1-417535-KU,M,67170,GUADALUPE,NUEVO LEON,W2582,258,9932.0,S
